ResortID,Day,SkierID,LiftID,Time
0,1,2,9,1
0,1,8,30,1
0,1,11,40,1
0,1,33,15,1
0,1,50,38,1
0,1,61,24,1
0,1,64,2,1
0,1,95,39,1
0,1,115,23,1
0,1,136,35,1
0,1,161,40,1
0,1,177,39,1
0,1,213,29,1
0,1,223,25,1
0,1,229,2,1
0,1,234,31,1
0,1,240,20,1
0,1,276,29,1
0,1,312,4,1
0,1,326,34,1
0,1,363,8,1
0,1,370,33,1
0,1,399,35,1
0,1,427,12,1
0,1,428,21,1
0,1,459,22,1
0,1,479,29,1
0,1,504,22,1
0,1,567,21,1
0,1,601,5,1
0,1,636,35,1
0,1,654,11,1
0,1,661,14,1
0,1,678,12,1
0,1,707,20,1
0,1,709,37,1
0,1,734,33,1
0,1,757,9,1
0,1,758,35,1
0,1,762,8,1
0,1,764,39,1
0,1,776,19,1
0,1,785,23,1
0,1,803,14,1
0,1,810,3,1
0,1,833,30,1
0,1,846,29,1
0,1,863,14,1
0,1,878,19,1
0,1,879,3,1
0,1,886,2,1
0,1,892,34,1
0,1,969,38,1
0,1,979,39,1
0,1,981,18,1
0,1,991,40,1
0,1,1013,30,1
0,1,1031,33,1
0,1,1035,36,1
0,1,1071,21,1
0,1,1079,25,1
0,1,1082,2,1
0,1,1089,18,1
0,1,1100,32,1
0,1,1131,8,1
0,1,1160,40,1
0,1,1179,10,1
0,1,1259,6,1
0,1,1283,28,1
0,1,1302,36,1
0,1,1304,21,1
0,1,1359,30,1
0,1,1364,21,1
0,1,1381,25,1
0,1,1386,26,1
0,1,1413,30,1
0,1,1444,33,1
0,1,1460,12,1
0,1,1522,21,1
0,1,1526,31,1
0,1,1535,16,1
0,1,1569,36,1
0,1,1594,40,1
0,1,1608,26,1
0,1,1636,6,1
0,1,1638,16,1
0,1,1640,34,1
0,1,1653,32,1
0,1,1674,13,1
0,1,1691,9,1
0,1,1696,17,1
0,1,1707,24,1
0,1,1728,34,1
0,1,1750,26,1
0,1,1751,10,1
0,1,1760,30,1
0,1,1770,30,1
0,1,1793,17,1
0,1,1796,18,1
0,1,1830,12,1
0,1,1860,10,1
0,1,1864,15,1
0,1,1880,23,1
0,1,1997,30,1
0,1,2038,2,1
0,1,2044,36,1
0,1,2072,10,1
0,1,2097,5,1
0,1,2104,34,1
0,1,2147,5,1
0,1,2155,6,1
0,1,2219,34,1
0,1,2232,8,1
0,1,2238,4,1
0,1,2259,14,1
0,1,2262,25,1
0,1,2272,23,1
0,1,2282,7,1
0,1,2335,4,1
0,1,2348,9,1
0,1,2359,9,1
0,1,2361,40,1
0,1,2368,33,1
0,1,2378,27,1
0,1,2380,29,1
0,1,2394,24,1
0,1,2425,24,1
0,1,2432,2,1
0,1,2436,34,1
0,1,2445,3,1
0,1,2457,37,1
0,1,2512,6,1
0,1,2541,40,1
0,1,2580,26,1
0,1,2619,19,1
0,1,2701,15,1
0,1,2712,18,1
0,1,2718,34,1
0,1,2721,10,1
0,1,2726,19,1
0,1,2789,24,1
0,1,2791,36,1
0,1,2804,19,1
0,1,2814,31,1
0,1,2821,24,1
0,1,2841,1,1
0,1,2847,10,1
0,1,2891,18,1
0,1,2909,12,1
0,1,2948,8,1
0,1,2949,15,1
0,1,2955,12,1
0,1,2964,39,1
0,1,2974,9,1
0,1,2978,14,1
0,1,2991,7,1
0,1,3027,12,1
0,1,3058,35,1
0,1,3104,3,1
0,1,3115,40,1
0,1,3122,35,1
0,1,3123,21,1
0,1,3132,2,1
0,1,3133,14,1
0,1,3154,38,1
0,1,3170,3,1
0,1,3174,23,1
0,1,3182,20,1
0,1,3213,6,1
0,1,3230,34,1
0,1,3248,9,1
0,1,3264,7,1
0,1,3280,29,1
0,1,3281,10,1
0,1,3284,1,1
0,1,3294,10,1
0,1,3336,1,1
0,1,3354,23,1
